name,datetime,temp,precip,demand_colombo,demand_gampaha,demand_kalutara,precip_cluster,precip_encoded,demand_scaled
"Colombo,Sri Lanka",2022-02-08,26.9,0.0,4684.416471818331,4959.196497830927,2696.7642068211912,0,0,0.22195234418299148
"Colombo,Sri Lanka",2022-02-09,28.1,0.0,5208.775614156236,5514.313669400086,2998.631680621493,0,0,0.30884850514036755
"Colombo,Sri Lanka",2022-02-10,26.8,0.5,5495.4972075960295,5817.853871385412,3163.6939749676303,0,0,0.3563636597773473
"Colombo,Sri Lanka",2022-02-11,26.8,0.188,5495.4972075960295,5817.853871385412,3163.6939749676303,0,0,0.3563636597773473
"Colombo,Sri Lanka",2022-02-12,26.5,11.525,4826.494103680616,5109.608165664137,2778.5566508750403,0,0,0.24549727697791157
"Colombo,Sri Lanka",2022-02-13,25.6,28.257,4969.840952956409,5261.363501078981,2861.079768666378,1,1,0.2692525429428845
"Colombo,Sri Lanka",2022-02-14,27.7,0.02,4730.906291756582,5008.413332757876,2723.527856711264,0,0,0.22965658074540152
"Colombo,Sri Lanka",2022-02-15,27.5,0.0,5256.5625463962015,5564.903703064308,3026.142063012516,0,0,0.3167676975798641
"Colombo,Sri Lanka",2022-02-16,27.4,0.0,4683.119359516614,4957.823299093654,2696.0174743202406,0,0,0.22173738830590461
"Colombo,Sri Lanka",2022-02-17,26.8,0.0,5311.323200688405,5622.876525638602,3057.667136268866,0,0,0.32584256677789203
"Colombo,Sri Lanka",2022-02-18,27.3,0.189,5306.971598127808,5618.2696653587145,3055.1619691689016,0,0,0.32512142448056836
"Colombo,Sri Lanka",2022-02-19,26.2,119.1,5608.454568660177,5937.437122098409,3228.722217022404,2,2,0.3750828166219996
"Colombo,Sri Lanka",2022-02-20,26.6,0.0,6271.905593575998,6639.805073163133,3610.6632736589263,0,0,0.485029115624964
"Colombo,Sri Lanka",2022-02-21,27.6,0.0,4874.546037358567,5160.478745306942,2806.2195915189463,0,0,0.2534603851342325
"Colombo,Sri Lanka",2022-02-22,27.4,0.0,4969.840952956409,5261.363501078981,2861.079768666378,0,0,0.2692525429428845
"Colombo,Sri Lanka",2022-02-23,26.6,5.603,5017.627885196374,5311.953534743203,2888.5901510574017,0,0,0.27717173538238116
"Colombo,Sri Lanka",2022-02-24,28.2,0.411,5304.349478636166,5615.493736728527,3053.6524454035384,0,0,0.3246868900193606
"Colombo,Sri Lanka",2022-02-25,27.8,3.244,5068.050884372085,5365.334262615431,2917.618086595518,0,0,0.28552777363660253
"Colombo,Sri Lanka",2022-02-26,26.6,3.0,7252.21166491934,7677.614257093616,4175.014103870666,0,0,0.6474842485385228
"Colombo,Sri Lanka",2022-02-27,28.2,5.611,5399.923343116097,5716.673804056969,3108.673210185584,0,0,0.34052527489835394
