name,datetime,temp,precip,demand_colombo,demand_gampaha,demand_kalutara,demand_kandy,demand_matale,demand_nuwaraeliya,demand_galle,demand_matara,demand_hambantota,demand_jaffna,demand_vanni,demand_batticaloa,demand_digamadulla,demand_trincomalee,demand_kurunegala,demand_puttalam,demand_anuradhapura,demand_polonnaruwa,demand_badulla,demand_monaragala,demand_ratnapura,demand_kegalle,precip_cluster,precip_encoded,demand_scaled
"Colombo,Sri Lanka",2022-02-08,26.9,0.0,5264.244840672371,5570.978556537073,3025.0871353693115,3546.832411984144,2317.3252350447115,3261.3747747649,4877.857181464822,3697.5213561982455,2808.170370332019,3195.144584705609,1643.306220906026,2402.313795519917,2975.4288492674045,1685.0480994505467,7214.413054654831,3369.2509457170213,3752.730311200731,1778.205109075933,3792.418964612187,2007.3053887085127,4987.764915962804,3834.1090584247954,0,0,0.22195234418299148
"Colombo,Sri Lanka",2022-02-09,28.1,0.0,5853.508183570709,6194.576726226442,3363.7060658898,3943.853900733706,2576.7194797870807,3626.443015393468,5423.869480650265,4111.410500935116,3122.5083067184573,3552.799221982448,1827.2528545533007,2671.221397784492,3308.489184290029,1873.667190332326,8021.972216947202,3746.394512444252,4172.799376204862,1977.2519085023728,4216.930655157531,2231.996967342828,5546.07994820889,4263.287409581355,0,0,0.30884850514036766
"Colombo,Sri Lanka",2022-02-10,26.8,0.5,6175.719643216803,6535.562601064595,3548.8641979571285,4160.946776003452,2718.557249316645,3826.0637318371455,5722.431103438354,4337.726675298518,3294.389497913969,3748.366151632858,1927.8355804920152,2818.26110775428,3490.607854984894,1976.804833836858,8463.548669256223,3952.618063587972,4402.494754711552,2086.0914630988345,4449.055278377212,2354.859185728672,5851.368752697453,4497.963780750971,0,0,0.3563636597773473
"Colombo,Sri Lanka",2022-02-11,26.8,0.188,6175.719643216803,6535.562601064595,3548.8641979571285,4160.946776003452,2718.557249316645,3826.0637318371455,5722.431103438354,4337.726675298518,3294.389497913969,3748.366151632858,1927.8355804920152,2818.26110775428,3490.607854984894,1976.804833836858,8463.548669256223,3952.618063587972,4402.494754711552,2086.0914630988345,4449.055278377212,2354.859185728672,5851.368752697453,4497.963780750971,0,0,0.3563636597773473
"Colombo,Sri Lanka",2022-02-12,26.5,11.525,5423.908577875409,5739.945480214788,3116.8375634014938,3654.4072940935257,2387.609353382735,3360.2917705960003,5025.801840329868,3809.666610833335,2893.3417462083703,3292.0528290480183,1693.1474461035505,2475.1756038392537,3065.6731491117657,1736.1553494109776,7433.225094158193,3471.4398092386773,3866.5500449585743,1832.137796825376,3907.442449130114,2068.1866527395496,5139.043059528615,3950.3969970826665,0,0,0.24549727697791157
"Colombo,Sri Lanka",2022-02-13,25.6,28.257,5584.99863386563,5910.421830527981,3209.40762250036,3762.943171342252,2458.521338512444,3460.0924183570705,5175.068128326859,3922.813688965616,2979.273980722198,3389.8267806071062,1743.4339162710398,2548.688306143001,3156.7236253776427,1787.7191540785498,7653.991840023018,3574.5415531578183,3981.386560782621,1886.5522796719893,4023.49346914113,2129.611785354625,5291.672611135087,4067.723766940008,1,1,0.2692525429428845
"Colombo,Sri Lanka",2022-02-14,27.7,0.02,5316.489084160552,5626.26693482952,3055.10917911092,3582.032441950798,2340.323197237808,3293.741821320673,4926.266776003452,3734.216876996115,2836.0396547259384,3226.8543392317647,1659.6149779887785,2426.1552145015103,3004.9580664652563,1701.7711178247732,7286.011463098835,3402.688593871385,3789.9737453603793,1795.8526508416053,3830.05628312473,2027.226603366422,5037.265274061286,3872.1601242986617,0,0,0.22965658074540152
"Colombo,Sri Lanka",2022-02-15,27.5,0.0,5907.210093511725,6251.407705366134,3394.565754567688,3980.036046611998,2600.3591080420083,3659.713134800748,5473.629751114947,4149.129863329017,3151.1551719177096,3585.3937102575164,1844.0166422097536,2695.7280161127896,3338.842296072507,1890.8567975830813,8095.568292332039,3780.765104301539,4211.081939289311,1995.3918342684503,4255.618092360811,2252.474003740469,5596.961415623651,4302.400138109624,0,0,0.3167676975798641
"Colombo,Sri Lanka",2022-02-16,27.4,0.0,5262.787174219535,5569.435955689826,3024.24949043303,3545.850296072506,2316.6835689828795,3260.4717019133923,4876.5065055387695,3696.497514602214,2807.3927895266856,3194.259850956696,1642.8511903323256,2401.6485961732114,2974.604954682778,1684.5815105740176,7212.415387713996,3368.318002014097,3751.69118227593,1777.712725075528,3791.3688459214486,2006.7495669687808,4986.383806646523,3833.047395770391,0,0,0.22173738830590473
"Colombo,Sri Lanka",2022-02-17,26.8,0.0,5968.748919865839,6316.532237448012,3429.9289106449382,4021.4983855636106,2627.448553833669,3697.838484592478,5530.651720106798,4192.353750432765,3183.982579081119,3622.74483159126,1863.2268308000805,2723.810975014775,3373.6249486325464,1910.5549471807687,8179.904512560077,3820.151522518635,4254.951217023228,2016.1789858431569,4299.9513289766655,2275.9393290614003,5655.268201943143,4347.220730371249,0,0,0.32584256677789225
