name,datetime,temp,precip,demand_colombo,demand_gampaha,demand_kalutara,demand_kandy,precip_cluster,precip_encoded,demand_scaled
"Colombo,Sri Lanka",2022-02-15,27.5,0.0,4684.416471818331,4959.196497830927,2696.7642068211912,3151.137660038556,0,0,0.2219523441829916
"Colombo,Sri Lanka",2022-02-16,27.4,0.0,5208.775614156236,5514.313669400086,2998.631680621493,3503.866297798877,0,0,0.30884850514036755
"Colombo,Sri Lanka",2022-02-17,26.8,0.0,5495.4972075960295,5817.853871385412,3163.6939749676303,3696.7396719896415,0,0,0.3563636597773473
"Colombo,Sri Lanka",2022-02-18,27.3,0.189,5495.4972075960295,5817.853871385412,3163.6939749676303,3696.7396719896415,0,0,0.3563636597773473
"Colombo,Sri Lanka",2022-02-19,26.2,119.1,4826.494103680616,5109.608165664137,2778.5566508750403,3246.7111811171712,2,2,0.2454972769779118
"Colombo,Sri Lanka",2022-02-20,26.6,0.0,4969.840952956409,5261.363501078981,2861.079768666378,3343.138485973241,0,0,0.2692525429428847
"Colombo,Sri Lanka",2022-02-21,27.6,0.0,4730.906291756582,5008.413332757876,2723.527856711264,3182.4106741476044,0,0,0.22965658074540163
"Colombo,Sri Lanka",2022-02-22,27.4,0.0,5256.5625463962015,5564.903703064308,3026.142063012516,3536.011860164005,0,0,0.31676769757986434
"Colombo,Sri Lanka",2022-02-23,26.6,5.603,4683.119359516614,4957.823299093654,2696.0174743202406,3150.265111782476,0,0,0.22173738830590473
"Colombo,Sri Lanka",2022-02-24,28.2,0.411,5311.323200688405,5622.876525638602,3057.667136268866,3572.8485421854766,0,0,0.32584256677789225
"Colombo,Sri Lanka",2022-02-25,27.8,3.244,5306.971598127808,5618.2696653587145,3055.1619691689016,3569.9212835199173,0,0,0.3251214244805686
"Colombo,Sri Lanka",2022-02-26,26.6,3.0,5608.454568660177,5937.437122098409,3228.722217022404,3772.7244177032617,0,0,0.3750828166219997
"Colombo,Sri Lanka",2022-02-27,28.2,5.611,6271.905593575998,6639.805073163133,3610.6632736589263,4219.01810716933,0,0,0.4850291156249642
"Colombo,Sri Lanka",2022-02-28,28.3,0.0,4874.546037358567,5160.478745306942,2806.2195915189463,3279.0350060292403,0,0,0.25346038513423275
"Colombo,Sri Lanka",2022-03-01,29.1,0.0,4969.840952956409,5261.363501078981,2861.079768666378,3343.138485973241,0,0,0.2692525429428847
"Colombo,Sri Lanka",2022-03-02,27.7,0.0,5017.627885196374,5311.953534743203,2888.5901510574017,3375.284048338369,0,0,0.2771717353823814
"Colombo,Sri Lanka",2022-03-03,29.0,0.0,5304.349478636166,5615.493736728527,3053.6524454035384,3568.157422529132,0,0,0.3246868900193608
